# Airport database: IATA|ICAO|LAT|LON|CITY|NAME
# Source: OurAirports (public domain), scheduled-service
# large+medium airports. Add your own as extra lines.
APN|KAPN|45.0781|-83.5603|Alpena|Alpena County Regional Airport
APO|SKLC|7.812|-76.7164|Carepa|Antonio Roldan Betancur Airport
APW|NSFA|-13.83|-172.008|Apia|Faleolo International Airport
AQA|SBAQ|-21.812|-48.133|Araraquara|Araraquara Airport
AQG|ZSAQ|30.5822|117.05|Anqing|Anqing Tianzhushan Airport / Anqing North Air Base
AQI|OEPA|28.3357|46.1271|Qaisumah|QaisumahHafar Al-Batin International Airport
AQJ|OJAQ|29.6116|35.0181|Aqaba|King Hussein International Airport
AQP|SPQU|-16.3408|-71.5695|Arequipa|Rodriguez Ballon International Airport
ARC|PARC|68.1147|-145.579|Arctic Village|Arctic Village Airport
ARH|ULAA|64.6003|40.7167|Archangelsk|Talagi Airport
ARI|SCAR|-18.3485|-70.3387|Arica|Chacalluta International Airport
ARK|HTAR|-3.3678|36.6333|Arusha|Arusha Airport
ARM|YARM|-30.5281|151.617|Armidale|Armidale Airport
ARN|ESSA|59.6485|17.9288|Stockholm|Stockholm-Arlanda Airport
ART|KART|43.9919|-76.0217|Watertown|Watertown International Airport
ARU|SBAU|-21.1415|-50.4246|Aracatuba|Aracatuba Airport
ARW|LRAR|46.1761|21.2643|Arad|Arad International Airport
ASB|UTAA|37.9868|58.361|Ashgabat|Ashgabat International Airport
ASD|MYAF|24.6979|-77.7956|Andros Town|Andros Town Airport
ASE|KASE|39.2232|-106.869|Aspen|Aspen-Pitkin County Airport (Sardy Field)
ASF|URWA|46.2828|48.0105|Astrakhan|Astrakhan Narimanovo Boris M. Kustodiev International Airport
ASI|FHAW|-7.9702|-14.3927|Cat Hill|RAF Ascension Island
ASJ|RJKA|28.4306|129.713|Amami|Amami Airport
ASM|HHAS|15.2919|38.9107|Asmara|Asmara International Airport
ASO|HASO|10.0185|34.5863|Asosa|Asosa Airport
ASP|YBAS|-23.8066|133.9034|Alice Springs|Alice Springs Airport
ASR|LTAU|38.7704|35.4954|Kayseri|Kayseri Erkilet International Airport
ASU|SGAS|-25.2402|-57.5192|Asuncion|Silvio Pettirossi International Airport
ASV|HKAM|-2.6448|37.2529|Ol Tukai|Amboseli Airport
ASW|HESN|23.9611|32.8204|Aswan|Aswan International Airport
ATC|MYCA|24.6294|-75.6738|Arthur's Town|Arthur's Town Airport
ATH|LGAV|37.9364|23.9445|Spata-Artemida|Athens Eleftherios Venizelos International Airport
ATK|PATQ|70.467|-157.436|Atqasuk|Atqasuk Edward Burnell Sr Memorial Airport
ATL|KATL|33.6367|-84.4281|Atlanta|Hartsfield Jackson Atlanta International Airport
ATM|SBHT|-3.2531|-52.2539|Altamira|Altamira Interstate Airport
ATQ|VIAR|31.7096|74.7973|Amritsar|Sri Guru Ram Das Ji International Airport
ATW|KATW|44.2585|-88.519|Appleton|Appleton International Airport
ATY|KATY|44.914|-97.1547|Watertown|Watertown Regional Airport
ATZ|HEAT|27.046|31.0128|Asyut|Asyut International Airport
AUA|TNCA|12.5011|-70.0143|Oranjestad|Queen Beatrix International Airport
AUC|SKUC|7.0689|-70.7369|Arauca|Santiago Perez Airport
AUG|KAUG|44.3206|-69.7973|Augusta|Augusta State Airport
AUH|OMAA|24.441|54.6492|Abu Dhabi|Zayed International Airport
AUQ|NTMN|-9.7688|-139.011|Hiva Oa Island|Hiva Oa-Atuona Airport
AUR|LFLW|44.8914|2.4219|Aurillac|Aurillac airport
AUS|KAUS|30.1975|-97.662|Austin|Austin Bergstrom International Airport
AUX|SWGN|-7.2279|-48.2405|Araguaina|Araguaina Airport
AVA|ZUAS|26.2606|105.8733|Anshun (Xixiu)|Anshun Huangguoshu Airport
AVK|ZMAH|46.2503|102.802|Arvaikheer|Arvaikheer Airport
AVL|KAVL|35.4355|-82.5419|Asheville|Asheville Regional Airport
AVN|LFMV|43.9073|4.9018|Avignon|Avignon Caumont airport
AVP|KAVP|41.3371|-75.7242|Wilkes-Barre/Scranton|Wilkes-Barre/Scranton International Airport
AVR|VAAM|20.8146|77.7178|Amravati|Amravati  Airport
AVV|YMAV|-38.0403|144.4672|Geelong/Melbourne|Melbourne Avalon International Airport
AWA|HALA|7.1006|38.3965|Hawassa|Hawassa International Airport
AWK|PWAK|19.2824|166.6366|Wake Island|Wake Island Airfield
AWZ|OIAW|31.3364|48.7638|Ahvaz|Qasem Soleimani International Airport
AXA|TQPF|18.2048|-63.0538|The Valley|Clayton J. Lloyd International Airport
AXD|LGAL|40.8559|25.9563|Alexandroupolis|Alexandroupoli Democritus Airport
AXF|ZBAL|38.7483|105.5842|Bayanhot|Alxa Left Banner Bayanhot Airport
AXJ|RJDA|32.4825|130.159|Amakusa|Amakusa Airport
AXM|SKAR|4.4528|-75.7664|Armenia|El Eden Airport
AXP|MYAP|22.4418|-73.9709|Spring Point|Spring Point Airport
AXR|NTGU|-15.2483|-146.617||Arutua Airport
AXT|RJSK|39.6156|140.219|Akita|Akita Airport
AXU|HAAX|14.1468|38.7728|Axum|Axum Airport
AYJ|VEAY|26.7477|82.1637|Faizabad|Maharshi Valmiki International Airport
AYP|SPHO|-13.1548|-74.2044|Ayacucho|Air Force Colonel Alfredo Mendivil Duarte Airport
AYQ|YAYE|-25.1859|130.977|Yulara|Ayers Rock Connellan Airport
AYT|LTAI|36.8987|30.8005|Antalya|Antalya International Airport
AZA|KIWA|33.3078|-111.655|Mesa|Mesa Gateway Airport
AZD|OIYY|31.9049|54.2765|Yazd|Shahid Sadooghi Airport
AZN|UZFA|40.7277|72.294|Andijan|Andijan International Airport
AZO|KAZO|42.2321|-85.5496|Kalamazoo|Kalamazoo/Battle Creek International Airport
AZR|DAUA|27.8376|-0.1864|Adrar|Touat-Cheikh Sidi Mohamed Belkebir Airport
AZS|MDCY|19.2693|-69.7374|Samana|Samana El Catey International Airport
BAH|OBBI|26.2673|50.6376|Manama|Bahrain International Airport
BAL|LTCJ|37.929|41.1166|Batman|Batman Airport
BAQ|SKBQ|10.8896|-74.7808|Barranquilla|Ernesto Cortissoz International Airport
BAR|ZJQH|19.141|110.4528|Qionghai (Basuo)|Qionghai Bo'ao Airport
BAV|ZBOW|40.56|109.997|Baotou|Baotou Donghe International Airport
BAX|UNBB|53.3613|83.5397|Barnaul|Barnaul Gherman Titov International Airport
BAY|LRBM|47.6584|23.4644|Tautii-Magheraus|Maramures International Airport
BBA|SCBA|-45.916|-71.6895|Balmaceda|Balmaceda Airport
BBI|VEBS|20.251|85.8147|Bhubaneswar|Biju Patnaik International Airport
BBK|FBKE|-17.8317|25.1662|Kasane|Kasane International Airport
